ID;START;LEN;Entity;Sentence;URL;LABEL
14;7;2;Matolcsy György;A BT legközelebbi ülésén részt vesz Matolcsy György nemzetgazdasági miniszter is - közölték a lap érdeklődésére a szaktárcánál.;http://hvg.hu/gazdasag/20110211_ulese_befektetoi_tanacs;SEM
15;5;1;Todd;Egy további kérdés kapcsán Todd megismételte azt is, hogy a médiahatóság függetlenségét illetően az érvényes uniós jogi előírások csak a függetlenség puszta követelményét fogalmazzák meg, annak tartalmi kritériumait nem.;http://hvg.hu/itthon/20110211_mediatorveny_europai_bizottsag;SEM
16;1;2;Nagy Sándor;Nagy Sándor, a település független polgármestere az MTI érdeklődésére elmondta, hogy a családot ideiglenesen önkormányzati bérlakásba költöztették.;http://kecskemetitv.hu/hun/sa_zuschlag_per_kecskemet/i_belfold_3/i_csaknem_600_lakohazat_veszelyeztet_a_belviz_szabol_77175/t_Csaknem%20600%20lakóházat%20veszélyeztet%20a%20belvíz%20Szabolcs-Szatmár-Bereg%20megyében/index.html;SEM
20;37;2;Szijjártó Péter;"Arra a kérdésre, hogy ha a nyugdíjkasszában csak a nyugdíjjellegű kifizetések maradhatnak, akkor a rokkantsági kifizetések és a szociális járadékok hova kerülnek, illetve várható-e a nyugdíjak esetleges csökkenése az új rendszerben, Szijjártó Péter azt közölte: nyugdíjcsökkenésről természetesen szó sem lehet, ""a nyugdíjak értékét megőrizzük"".";http://kecskemetitv.hu/Rendi?1ŹĹĽi?1ťrsgi%20felhvs/s_!news/i_belfold_3/i_szijjarto:_nyugdijcsokkenesrol_szo_sem_lehet_76678/t_Szijjártó%20nyugdíjcsökkenésről%20szó%20sem%20lehet/index.html;SEM
21;1;2;Köteles László;Köteles László orvos barátom hónapokkal ezelőtt a BAZ Megyei ÁNTSZ-hez fordult, kérve, hogy állapítsák meg, a rendelője oltóhely-é vagy sem.;http://giulio.freeblog.hu/archives/2011/02/03/COME_TO_THE_CABARET/;SEM
23;10;2;Orbán Viktor;Ez az utolsó félmondat a végén ... ezek szerint Orbán Viktor gondoskodni fog róla, hogy új Alkotmányban még véletlenül se lehetőség arra, hogy az Alkotmánybíróság megsemmisítsen egy alkotmányellenes törvényt?;http://vastagbor.blog.hu/2011/02/02/peldatlan_osszefogas;NEG
24;1;2;Schiffer András;Schiffer András a közel 40 oldalas javaslatcsomag kapcsán hangsúlyozta, hogy az LMP szerint nincs alkotmányozási kényszer, nincs szükség arra, hogy új alaptörvényt alkosson a parlament.;http://kecskemetitv.hu/Rendi?1ŹĹĽi?1ťrsgi%20felhvs/s_!news/i_belfold_3/i_sajat_alkotmanykoncepciot_keszitett_az_lmp_is_76463/t_Saját%20alkotmánykoncepciót%20készített%20az%20LMP%20is/index.html;SEM
25;1;2;Lenhardt Balázs;Lenhardt Balázs elmondta: jelenleg az ingatlanokra felvett lakossági devizahitel-állomány 3.000 milliárd forint, így a nagyjából ugyanekkora magán-nyugdíjpénztári vagyonból fedezni lehetne a devizahitelek forintra váltását a hitelek felvételekor érvényes árfolyamon.;http://kecskemetitv.hu/hun/sa_tv/i_belfold_3/i_a_jobbik_a_magan_nyugdijpenztari_vagyonbol_mentene_75978/t_A%20Jobbik%20a%20magán-nyugdíjpénztári%20vagyonból%20mentené%20meg%20a%20devizahiteleseket/index.html;SEM
27;15;2;Günther Oettinger;A források lekötése szempontjából segíthet José Manuel Barroso, az EU-bizottság elnöke, valamint Günther Oettinger energiaügyi biztos nemrégiben lezajlott térségi látogatása.;http://hvg.hu/gazdasag/20110125_nabucco_2011;SEM
28;1;2;Günther Oettinger;"Günther Oettinger energiaügyi biztos szerint a Nabucco-projekt ""kettő vagy három éven belül"" megindulhat, a szükséges földgázmennyiséget pedig azeri és türkmén forrásból fedezik majd.";http://hvg.hu/gazdasag/20110125_nabucco_2011;SEM
29;1;2;Halmos Ádám;Halmos Ádám úgy vélte, a könyv teljesen érthető lesz a magyar olvasók számára is, hiszen nem szerepelnek benne olyan jelentős nemzetközi ügyek, amelyek ne lennének ismertek itthon, a számítógépes vagy hackernyelv legmélyebb rétegei pedig szintén nem úgy jelennek meg a szövegben, hogy az külön magyarázatra szorulna.;http://atv.hu/kulfold/20110123_leleplezo_konyv_jelenik_meg_a_wikileaks_belso_mukodeserol;SEM
30;4;2;Juli;A WikiLeaks fejlesztését Julian Assange ausztrál hacker kezdte meg 2006-ban.;http://atv.hu/kulfold/20110123_leleplezo_konyv_jelenik_meg_a_wikileaks_belso_mukodeserol;SEM
31;1;2;Kovács Zoltán;Kovács Zoltán végül azt is megjegyezte: a kritikák mellett illene elismerni a magyar médiatörvény pozitív elemeit, azokat az előremutató intézkedéseket, amelyekről érdemtelenül kevés szó esik.;http://hvg.hu/itthon/20110118_ebesz_magyar_mediatorveny;SEM
32;56;2;Reseterics József;A forint piacán napok óta pozitív hangulat uralkodik, ami ha a csütörtöki spanyol és olasz kötvényaukció sikeres lesz - amire a szerda portugál tranzakció ismeretében minden esély megvan -, és a kora délutáni EKB jegybankári komment is optimista jövőképest fest a befektetők elé, akkor kitarthat a hét hátralévő részében is - hangsúlyozza Reseterics József, a Raiffeisen devizakereskedője.;http://hvg.hu/gazdasag/20110113_forint_euro_frank;SEM
35;10;2;Schmitt Pál;Önkéntes az, amit érdek nélkül teszünk - mondta Schmitt Pál köztársasági elnök az önkéntesség európai évének alkalmából rendezett nyitó konferencián szombaton Budapesten.;http://kecskemetitv.hu/hun/sa_kecskemet/i_belfold_3/i_schmitt:_onkentes_az_amit_erdek_nelkul_teszunk_73353/t_Schmitt%20önkéntes%20az,%20amit%20érdek%20nélkül%20teszünk/index.html;SEM
41;1;2;Futó János;Futó János alezredes, parancsnok-helyettes érdeklődésünkre elmondta, hogy egy gépjárműfecskendővel és egy magasból mentő szerrel vonultak a helyszínre.;http://www.heol.hu/heves/kek-hirek-bulvar/kitelepitettek-a-lakokat-a-szel-altal-megrongalt-hazbol-348555;SEM
42;2;2;Varga Sándor;Mint Varga Sándor alezredes, parancsnok elmondta: a kocsi áramtalanítását végezték el, illetve a helyszín biztosításában segítettek.;http://www.heol.hu/heves/kek-hirek-bulvar/kitelepitettek-a-lakokat-a-szel-altal-megrongalt-hazbol-348555;SEM
43;17;2;Johann Strauss;Mindegy, hogy kék vagy zöld, csak tiszta legyen a Duna - utalt áttételesen ifj. Johann Strauss 1866-os művére Johannes Hahn regionális biztos a stratégia közzétételekor.;http://hvg.hu/vilag/20101209_duna_strategia_eb;SEM
44;21;2;Johannes Hahn;Mindegy, hogy kék vagy zöld, csak tiszta legyen a Duna - utalt áttételesen ifj. Johann Strauss 1866-os művére Johannes Hahn regionális biztos a stratégia közzétételekor.;http://hvg.hu/vilag/20101209_duna_strategia_eb;SEM
45;21;2;Kövér László;Magyarország meg szeretné oldani a határain kívül élő magyar állampolgárok parlamenti képviseletét, s ebben számít Horvátország tapasztalataira - mondta Kövér László szerdán, miután fogadta a horvát parlament elnökét, Luka Bebicet.;http://hvg.hu/vilag/20101208_horvatok_kover_laszlo;SEM
47;1;2;Kövér László;"Kövér László a vendégével közösen tartott sajtótájékoztatón kijelentette, ""Magyarország szomszédai sorában Horvátországgal kiemelkedően jók a kapcsolatok"", semmilyen téren nincs probléma.";http://hvg.hu/vilag/20101208_horvatok_kover_laszlo;SEM
48;1;2;Kövér László;Kövér László elmondta, tájékoztatta vendégét arról, hogy az alkotmányos rendszer átalakítása keretében Magyarország is megoldja a kisebbségi közösségek parlamenti képviseletének kérdését.;http://hvg.hu/vilag/20101208_horvatok_kover_laszlo;SEM
49;14;2;Silviu Prigoana;A kabinet fő erejét alkotó Demokrata Liberális Párt (PD-L) képviselője, Silviu Prigoana javasolta a kormánynak a módosítást.;http://hvg.hu/vilag/20101206_panaszolnak_be_obamanal;SEM
51;1;2;Fellegi Tamás;Fellegi Tamás nemzeti fejlesztési minisztert nevezete ki a miniszterelnök a Magyar-Kínai Gazdasági Vegyes Bizottság magyar tagozatának elnökévé, és ugyanakkor felmentette ebből a tisztségből Matolcsy György nemzetgazdasági minisztert - olvasható a Magyar Közlöny legfrissebb számában megjelent miniszterelnöki rendeletben.;http://kecskemetitv.hu/SlurpConfirm404/s_!news/i_belfold_3/i_fellegi_tamas_a_magyar_kinai_gazdasagi_vegyes_bizo_68681/t_Fellegi%20Tamás%20a%20Magyar-Kínai%20Gazdasági%20Vegyes%20Bizottság%20magyar%20elnöke/index.html;POZ
56;6;2;Sólyom László;"Arra a megjegyzésre, hogy Sólyom László már ""válaszolt"" a kérdésre, amikor azt mondta, hogy az alkotmány soha nem akadályozta a kormányokat abban, hogy fontos társadalmi kérdéseket megoldjanak, Lázár János azt mondta: az AB mint intézmény nem, de az eddigi alkotmány igen.";http://atv.hu/belfold/20101118_solyom_laszlo_felelosseget_firtatna_lazar;SEM
57;35;2;Lázár János;"Arra a megjegyzésre, hogy Sólyom László már ""válaszolt"" a kérdésre, amikor azt mondta, hogy az alkotmány soha nem akadályozta a kormányokat abban, hogy fontos társadalmi kérdéseket megoldjanak, Lázár János azt mondta: az AB mint intézmény nem, de az eddigi alkotmány igen.";http://atv.hu/belfold/20101118_solyom_laszlo_felelosseget_firtatna_lazar;SEM
59;1;2;Kelemen Hunor;Kelemen Hunor elmondta, hogy a szaktárca 1,5 millió lejjel kíván hozzájárulni a szoborcsoport restaurálási költségeihez.;http://kecskemetitv.hu/hun/sa_tv/i_kulfold_4/i_csak_jovore_adjak_at_a_kolozsvari_matyas_szobrot_66943/t_Csak%20jövőre%20adják%20át%20a%20kolozsvári%20Mátyás-szobrot/index.html;SEM
60;31;2;Gosztonyi Gábor;Egyetértését adta a kialakult gazdasági helyzetre tekintettel a Cerbona Élelmiszeripari Zrt. szerdai közgyűlése ahhoz, hogy a társaság ügyvezetése csődeljárás lefolytatása iránti kérelmet terjesszen elő a bíróságnál - mondta el Gosztonyi Gábor, a társaság vezérigazgatója.;http://hvg.hu/gazdasag/20101110_csodvedelmet_ker_a_cerbona;SEM
61;5;2;Török Árpád;A PropertyEU-nak adott interjúban Török Árpád, a cég vezérigazgatója kifejtette, hogy zöld- és barnamezős lehetőségeket is látnak számos lengyel városban, csakúgy mint a PKP állami vasúttársasággal együttműködésben létrehozandó PPP-konstrukciójú projektekben.;http://hvg.hu/gazdasag/20101108_trigranit_regios_beruhazasok;SEM
63;28;2;Török Árpád;Az utolsó átadások jelentősen megdobták a forgalmukat, s legalább 40 százalékkal a tavalyi szint felett teljesítenek, s nagyjából 110 millió eurónál zárnak majd - árulta el Török Árpád.;http://hvg.hu/gazdasag/20101108_trigranit_regios_beruhazasok;SEM
64;1;2;Gönczi Mihály;Gönczi Mihály polgármester elmondta: még 2002-ben határozták meg a legfontosabb fejlesztési feladatokat, az egészségház, a konyha, a buszmegálló és a belvízelvezetés elsőbbségét.;http://www.heol.hu/heves/kozelet/felavattak-az-atanyi-uj-egeszseghazat-342445;SEM
66;1;2;Silvio Berlusconi;"Silvio Berlusconi közleményében átlátszóan cinikusan elhatárolódott a lejárató cikktől: ,,Sajnálom, nem tudtam róla, a magánélet szent, akárkiről is legyen szó"".";http://atv.hu/kulfold/20101103_berlusconi_mogul_kihatral_a_vatikan;NEG
67;20;2;Győrfi Pál;Ebből az összegből már idén több mint száz új mentőautót vásárolna a mentőszolgálat a költségvetés elfogadása után - áll Győrfi Pál, az Országos Mentőszolgálat kommunikációs és PR igazgatójának szerdai közleményében.;http://hvg.hu/itthon/20101103_mentosok_ketmilliard_plusz;SEM
68;25;2;Petróczi Tímea;Megfelelő állapotú az ország valamennyi zagy- és iszaptározója, nincs szükség védelmi intézkedésekre - állapította meg a rendkívüli hatósági vizsgálat, a melynek eredményét Petróczi Tímea, a katasztrófavédelmi kormánybiztos szóvivője ismertette az MTI tudósítójával vasárnap.;http://kecskemetitv.hu/index.php/s_!news/i_belfold_3/i_megfelelo_allapotuak_az_orszag_zagytarozoi_65583/t_Megfelelő%20állapotúak%20az%20ország%20zagytározói/index.html;SEM
71;14;2;Nagy Zoltán;Mint ahogyan az ének-zene tanszék tanára és egyben a főiskolai banda vezetője, Nagy Zoltán is elmondta, az Agria Voces profilját főként musicalek képzik - mint például My Fair Lady, Jézus Krisztus Szupersztár -, de előadásukban olyan népszerű dalokat is hallhatunk a magyar könnyűzenéből, mint a KFT Afrikája, Varga Miklós Európája, vagy éppen a Valami Amerika betétdala.;http://www.heol.hu/heves/kultura/musicalek-magyar-konnyuzene-agria-voces-modra-336033;SEM
76;17;2;Répássy Róbert;A minőségi jogalkotás megteremtése és a jogszabályok megismerhetőségének javítása a célja a jogalkotási törvényjavaslatnak - mondta Répássy Róbert államtitkár szerdán a parlamentben, az előterjesztés általános vitájának kezdetén.;http://kecskemetitv.hu/MTI/s_!news/i_belfold_3/i_repassy:_a_minosegi_jogalkotas_megteremtese_a_joga_65144/t_Répássy%20a%20minőségi%20jogalkotás%20megteremtése%20a%20jogalkotási%20törvény%20célja/index.html;SEM
77;1;2;Répássy Róbert;Répássy Róbert, a közigazgatási tárca igazságügyért felelős államtitkára kiemelte: a javaslat az elmúlt húsz év jogalkotási tapasztalatai, az uniós tagságból fakadó kötelezettségek és az alkotmánybírósági gyakorlat, valamint jogi dogmatika eredményeinek figyelembe vételével minőségi jogalkotás megteremtését, a jogszabályok megismerhetőségének javítását tűzi ki célul.;http://kecskemetitv.hu/MTI/s_!news/i_belfold_3/i_repassy:_a_minosegi_jogalkotas_megteremtese_a_joga_65144/t_Répássy%20a%20minőségi%20jogalkotás%20megteremtése%20a%20jogalkotási%20törvény%20célja/index.html;SEM
80;9;2;Krekó Péter;"Egyelőre azonban az MSZP vezetése mintha inkább a Krekó Péter elemző által is felvázolt lehetőségben bízna: ,,ha a másik két ellenzéki párt továbbra is a kormány támogatásában versenyez egymással, még a kiüresedett és megosztott MSZP [is] kényelmesen megőrizheti a második legerősebb párt pozícióját, így könnyen lehet, hogy a Fidesz meggyengüléséből az MSZP profitál majd leginkább"".";http://hvg.hu/itthon/20101025_mszp_szaznapos_tojas_mozgo_vilag;SEM
81;6;2;Kiss Sándor;A kisebbségi önkormányzat megbízást adott Kiss Sándor körjegyzőnek, hogy a testület szervezeti és működési szabályzatát, valamint a települési önkormányzattal kötendő együttműködési megállapodást készítse el.;http://www.heol.hu/heves/kozelet/eloszor-alakult-nemet-kisebbsegi-onkormanyzat-335250;SEM
82;8;2;Schmitt Pál;Az Országgyűlés által megkezdett alkotmánymódosítási folyamatról szólva Schmitt Pál köztársasági elnök a találkozón kifejtette: javaslatot tett a kereszténységre történő közvetlen utalásra, a Szent Korona, illetve az anyanyelv, a család, az élethosszig tartó tanulás, valamint a sport és egészség alkotmányban történő megjelenítésére.;http://hvg.hu/itthon/20101023_schmitt_buzek_alkotmany_targyalas;SEM
83;1;2;Jerzy Buzek;Jerzy Buzek mindezzel kapcsolatban azt hangsúlyozta: fontos, hogy az alapszerződés összhangban legyen a társadalmi változásokkal, a reformok pedig a haladás nélkülözhetetlen eszközei, miként azt az Európai Unió története is mutatja.;http://hvg.hu/itthon/20101023_schmitt_buzek_alkotmany_targyalas;SEM
84;9;2;Jerzy Buzek;A honlap szerint a magyar EU-elnökséggel kapcsolatban, Jerzy Buzek emlékeztetett a soros elnökségi szerep kiemelt fontosságára, amely véleménye szerint a Lisszaboni Szerződés életbe lépése után is az egyik legfontosabb intézmény.;http://hvg.hu/itthon/20101023_schmitt_buzek_alkotmany_targyalas;SEM
85;4;2;Jerzy Buzek;Mint írják, Jerzy Buzek javaslatot tett az európai polgárok integrációjának kérdését vizsgáló közös parlamenti találkozóra, mely a kontinensen élő kisebbségek, a bevándorlók, illetve a szabad letelepedés lehetőségével élve más tagállamban letelepedő európaiak társadalmi beilleszkedését tekintené át.;http://hvg.hu/itthon/20101023_schmitt_buzek_alkotmany_targyalas;SEM
86;1;2;Schmitt Pál;Schmitt Pál úgy fogalmazott: az Európai Uniónak a közös érdekek mellett a közös értékekért is ki kellene állnia, és úgy vélekedett, az egységes pénzügyi vagy gazdasági szabályozás mellett kevés szó esik az európai nemzetek lelki összetartozásáról.;http://hvg.hu/itthon/20101023_schmitt_buzek_alkotmany_targyalas;SEM
89;1;2;Ruttner György;Ruttner György szerint a támogatási szándék nem a jogi felelősség elismerését jelenti, hanem humanitárius, erkölcsi megfontolásból született.;http://hvg.hu/itthon/20101020_peren_kivul_mal_karosultak;SEM
90;1;2;Ruttner György;Ruttner György szerint fontos lenne azoknak az embereknek az eljárás alá vonása, akik a katasztrófavédelem és környezetvédelmi hatóság részéről jóváhagyták a Mal dokumentumait.;http://hvg.hu/itthon/20101020_peren_kivul_mal_karosultak;SEM
91;23;2;Balsai István;Arra a kérdésre, hogy a volt kormányfőn kívül van-e olyan konkrét személy, akivel szemben nyomozás elrendelését tartanák kívánatosnak, Balsai István válaszában Gergényi Péter volt budapesti rendőrfőkapitányt, az ő közbiztonsági helyettesét, Lapid Lajost, Szabadfi Árpád akkori országos rendőrfőkapitány-helyettest és Dobozi Józsefet, a Rendészeti Biztonsági Szolgálat (Rebisz) akkori parancsnokát említette.;http://hvg.hu/itthon/20101019_balsai_gyurcsany_felelosseg;SEM
92;26;2;Gergényi Péter;Arra a kérdésre, hogy a volt kormányfőn kívül van-e olyan konkrét személy, akivel szemben nyomozás elrendelését tartanák kívánatosnak, Balsai István válaszában Gergényi Péter volt budapesti rendőrfőkapitányt, az ő közbiztonsági helyettesét, Lapid Lajost, Szabadfi Árpád akkori országos rendőrfőkapitány-helyettest és Dobozi Józsefet, a Rendészeti Biztonsági Szolgálat (Rebisz) akkori parancsnokát említette.;http://hvg.hu/itthon/20101019_balsai_gyurcsany_felelosseg;NEG
93;37;2;Lapid Lajos;Arra a kérdésre, hogy a volt kormányfőn kívül van-e olyan konkrét személy, akivel szemben nyomozás elrendelését tartanák kívánatosnak, Balsai István válaszában Gergényi Péter volt budapesti rendőrfőkapitányt, az ő közbiztonsági helyettesét, Lapid Lajost, Szabadfi Árpád akkori országos rendőrfőkapitány-helyettest és Dobozi Józsefet, a Rendészeti Biztonsági Szolgálat (Rebisz) akkori parancsnokát említette.;http://hvg.hu/itthon/20101019_balsai_gyurcsany_felelosseg;NEG
94;40;2;Szabadfi Árpád;Arra a kérdésre, hogy a volt kormányfőn kívül van-e olyan konkrét személy, akivel szemben nyomozás elrendelését tartanák kívánatosnak, Balsai István válaszában Gergényi Péter volt budapesti rendőrfőkapitányt, az ő közbiztonsági helyettesét, Lapid Lajost, Szabadfi Árpád akkori országos rendőrfőkapitány-helyettest és Dobozi Józsefet, a Rendészeti Biztonsági Szolgálat (Rebisz) akkori parancsnokát említette.;http://hvg.hu/itthon/20101019_balsai_gyurcsany_felelosseg;NEG
95;46;2;Dobozi József;Arra a kérdésre, hogy a volt kormányfőn kívül van-e olyan konkrét személy, akivel szemben nyomozás elrendelését tartanák kívánatosnak, Balsai István válaszában Gergényi Péter volt budapesti rendőrfőkapitányt, az ő közbiztonsági helyettesét, Lapid Lajost, Szabadfi Árpád akkori országos rendőrfőkapitány-helyettest és Dobozi Józsefet, a Rendészeti Biztonsági Szolgálat (Rebisz) akkori parancsnokát említette.;http://hvg.hu/itthon/20101019_balsai_gyurcsany_felelosseg;NEG
96;26;2;Tabajdi Csaba;Az Európai Parlament szocialista frakciója támogatja, hogy a magyarországi vörösiszap-katasztrófa szerepeljen az Európai Parlament (EP) jövő heti plenáris ülésének napirendjén - közölte Tabajdi Csaba, az MSZP európai parlamenti (EP-) delegációjának vezetője.;http://kecskemetitv.hu/hun/sa_tv/i_kulfold_4/i_tabajdi:_targyaljanak_a_vorosiszap_katasztrofarol_63541/t_Tabajdi%20tárgyaljanak%20a%20vörösiszap-katasztrófáról%20az%20EP%20ülésén/index.html;SEM
98;1;2;Dobson Tibor;Dobson Tibor kiemelte azt is, hogy kedvezően alakul a folyók pH értéke, amely most 8 körül van.;http://hetivalasz.hu/itthon/dobbenetes-foto-igy-kezdodott-az-iszapkatasztrofa-32408/;SEM
100;3;1;Tamás;Milan és Tamás is jól beilleszkedett már.;http://www.heol.hu/heves/sport/marco-stamm-magas-szinvonalat-kepvisel-a-zf-eger-332476;POZ
101;23;2;Veszprémi István;Fontos megjegyezni, hogy továbbra is követelmény a számlapéldányok hiánytalan elszámolása, ám ennek módjára vonatkozóan nincs hatályos jogszabályi rendelkezés - figyelmeztet Veszprémi István, a Deloitte adópartnere.;http://hvg.hu/gazdasag/20101006_szamla_szamlamasolat_eredeti_szamla;SEM
102;23;2;Báthory Csaba;Az egri építész a Gárdonyi Géza Ciszterci Gimnázium, Szakközépiskola és Kollégiumban tartott ünnepségen vehette át a kitüntetést a kamara elnökétől, Báthory Csabától, valamint a tavalyi díjazott csoport vezetőjétől, Thoma Emőkétől.;http://www.heol.hu/heves/kozelet/nivodij-a-gilitka-kapolna-felujitasaert-331612;SEM
103;33;2;Thoma Emőke;Az egri építész a Gárdonyi Géza Ciszterci Gimnázium, Szakközépiskola és Kollégiumban tartott ünnepségen vehette át a kitüntetést a kamara elnökétől, Báthory Csabától, valamint a tavalyi díjazott csoport vezetőjétől, Thoma Emőkétől.;http://www.heol.hu/heves/kozelet/nivodij-a-gilitka-kapolna-felujitasaert-331612;SEM
104;1;2;Báthory Csaba;Báthory Csaba (balról) és a díjazott Csuhány Béla.;http://www.heol.hu/heves/kozelet/nivodij-a-gilitka-kapolna-felujitasaert-331612;SEM
106;4;2;Budaházy György;A terrorcselekményekkel vádolt Budaházy György ügyvédje amúgy sikeresnek tartja a választásokat pártja szempontjából.;http://atv.hu/belfold/202003_gaudi_sajnalom_zuschlag_janost;NEG
107;13;2;Mahmúd Abbász;Izraelnek választania kell a béke és a telepek között - jelentette ki Mahmúd Abbász palesztin elnök az ENSZ Közgyűlés ülésszakának általános vitájában, egy nappal a ciszjordániai telepépítésekre vállalt tíz hónapos izraeli moratórium hatályának lejárta előtt.;http://kecskemetitv.hu/hun/sa_zuschlag_per_kecskemet/i_kulfold_4/i_abbasz:_izraelnek_valasztania_kell_a_beke_es_a_tel_61368/t_Abbász%20Izraelnek%20választania%20kell%20a%20béke%20és%20a%20telepek%20között/index.html;SEM
108;5;2;Kónya Péter;A munkavállalói oldal képviseletében Kónya Péter bejelentette: tekintettel arra, hogy nem kapták meg a legfrissebb, a szakszervezetek javaslatait is tartalmazó törvénytervezetet a rendészeti törvények módosításáról a kormányoldaltól, így nem tudnak dolgozni, ezért a munkát befejezik.;http://kecskemetitv.hu/group/s_!news/i_belfold_3/i_demonstracios_bizottsagot_alakitotta_a_szef_munkav_60251/t_Demonstrációs%20bizottságot%20alakította%20a%20SZÉF%20munkavállalói%20szakszervezetei/index.html;SEM
109;14;1;Cserni;A kommunisták, a liberálisok, az MDF, a szabad sajtó és Cserni bíró...;http://www.nepszava.hu/articles/article.php?id=345401;SEM
110;13;2;Cserni;Időközben eljött a végső győzelem, és a jog pallosa végre lesújthat Cserni bíróra.;http://www.nepszava.hu/articles/article.php?id=345401;NEG
111;58;2;Révész Máriusz;"Erre Cserni ezt írta: ""A bírói függetlenség azt jelenti, hogy a bírák a döntéseik meghozatalánál csak a bizonyított tényeket és a jogviták eldöntéséhez szükséges jogszabályokat vehetik figyelembe... ebből egyenesen következik az is, hogy egy párt országgyűlési képviselője sem vonhat felelősségre valamely bírót az általa kifogásolt döntéséért, még akkor sem, ha Révész Máriusznak hívják.""";http://www.nepszava.hu/articles/article.php?id=345401;NEG
113;3;2;Kósa Lajos;Előtte felszólalt Kósa Lajos, a Fidesz ügyvezető alelnöke, Debrecen polgármestere is, aki teljesen természetesnek tartja, hogy a lakáshitelesek megsegítésével kapcsolatos nyolcpontos fideszes javaslatcsomag bejelentése után vita robbant ki, hiszen a bankszövetség vezetőjét a bankárok választják, helyes, hogy ha ő a bankárok érdekeit képviseli.;http://hvg.hu/itthon/20100910_fidesz_kampanynyito_nagygyules;SEM
